id,title,domain,severity,effort,files,evidence,recommendation,cve
CQ-01,"Coverage gate set to 60%, not the documented 80%",code-quality,High,S,pyproject.toml,pyproject.toml '--cov-fail-under=60'; CLAUDE.md repeatedly states 80%,Reconcile gate with docs: raise gate to 80 or correct docs to 60.,
DOC-05,CONTRIBUTING tells new devs to use Poetry; project is uv,docs,High,S,CONTRIBUTING.md,"CONTRIBUTING.md:36-40 'poetry install --with dev'; pyproject build-backend hatchling, uv.lock present, no [tool.poetry]",Replace Poetry block with 'uv sync --extra dev' and 'uv run pre-commit install'.,
DEP-01,Dockerfiles build via Poetry against a missing poetry.lock,dependencies,High,M,Dockerfile;Dockerfile.gpu,"Dockerfile:26 copies 'poetry.lock*' (no poetry.lock exists), :34 'poetry export'; build resolves fresh from PyPI, bypasses uv.lock",Switch Docker build to uv (uv export / uv pip install against uv.lock) for reproducible builds.,
ARCH-02,"Multiple config systems, no single source of truth",architecture,High,M,src/image_preprocessing_detector/core/config.py;src/image_preprocessing_detector/api/config.py,Hand-rolled Settings in core/config.py:14 vs pydantic APISettings in api/config.py:17; 8 config modules plus ~15 inline *Config dataclasses,"Standardize on pydantic-settings BaseSettings; core owns root config, subpackage configs are nested models.",
ARCH-03,Two logging setups; dedicated logging/ package near-dead,architecture,High,M,src/image_preprocessing_detector/logging/__init__.py;src/image_preprocessing_detector/utils/log_config.py,"setup_logging/get_logger defined in both logging/__init__.py:297,419 and utils/log_config.py:33,119; utils version has 57 importers, logging package ~2",Merge logging/ setup into utils/log_config.py; keep logging/ for errors/outcomes types only.,
SEC-01,Vulnerable transformers 4.37.2 pinned transitively via pyiqa,security,High,M,uv.lock,uv.lock pins transformers 4.57.3 (project) and 4.37.2 (forced by pyiqa 0.1.14.1); transformers <4.48 has deserialization/ReDoS RCE,Pin pyiqa to a release allowing transformers>=4.48 or drop pyiqa from production extras; confirm iqa extra is not in any runtime image.,CVE-2024-11392
CI-01,basedpyright (house type checker) run in neither CI nor pre-commit,cicd,High,M,.github/workflows/ci.yml;.pre-commit-config.yaml,"pyproject.toml:87 declares basedpyright as modern checker, :86 marks mypy legacy; ci.yml:316 runs mypy, pre-commit runs mypy v1.8.0; basedpyright runs nowhere","Add 'uv run basedpyright src' to quality-checks and a pre-commit hook, or formally demote basedpyright in docs. Pick one gate.",
DOC-01,README architecture/phase contradicts CLAUDE.md,docs,High,M,README.md;CLAUDE.md,"README.md:130,398,553 Phase 0 week 2-3, ResNet IQA PLANNED; CLAUDE.md:644 Phases 0-6 COMPLETE, :511 ResNet student val_loss=0.14",Pick one status source (CLAUDE.md is newer); rewrite README status/roadmap or link to MASTER_PROJECT_PLAN.md.,
DOC-02,CLAUDE.md header model (SigLIP/MobileNetV4) contradicts its own body (ResNet),docs,High,M,CLAUDE.md,"CLAUDE.md:146-148 current = MobileNetV4 + SigLIP 2; :358,511,561 describe ResNet-50/18 as implemented; :644 says SigLIP 2 PENDING","Add current-vs-target note: ResNet shipped, SigLIP/MobileNetV4 target; tag the SigLIP block forward-looking.",
DOC-03,SigLIP and docling shifts have no ADR; duplicate ADR numbers 0028/0030,docs,High,M,docs/ADRs/,No ADR mentions SigLIP; layout ADR is 0015-yolov8 while CLAUDE.md:148 says docling replaced YOLOv10; duplicate 0028 and 0030 files; 0034 missing,Add ADRs for SigLIP-2 teacher and docling-layout adoption; renumber duplicate 0028/0030 pairs.,
